Model,Mean Absolute Deviation (%),Median Absolute Deviation (%),Standard Deviation of Deviation (%)
XGBoost,7.289003775283314,5.811653013754045,9.150309998327074
Neural Network,11.09177111060868,7.42476312867173,14.30764205805828
