icao,iata,name,city,subd,country,lat,lon,lid
02AK,,Rustic Wilderness Airport,Willow,Alaska,US,61.87691,-150.09764,02AK
02AL,,Bass Field,Foley,Alabama,US,30.37146,-87.76444,02AL
02CD,,Shannon Field,Clarksdale,Mississippi,US,34.12961,-90.52402,02CD
NULL,,Conover Air Lodge Airport,Frazier Park,US-CA,US,34.761101,-119.058998,02CL
02CO,,Mc Cullough Airport,Monte Vista,Colorado,US,37.64333,-106.04697,02CO
02FA,,Osborn Airfield,Groveland,Florida,US,28.52667,-81.8748,02FA
02FD,,Triple R Ranch Airport,Baker,Florida,US,30.95235,-86.63542,02FD
02GA,,Doug Bolton Field,Commerce,Georgia,US,34.20261,-83.42905,02GA
02GE,,Etowah Fields Airport,Euharlee,Georgia,US,34.17528,-84.92444,02GE
02ID,,Morgan Ranch Airport,Cascade,Idaho,US,44.55546,-115.30511,02ID
NULL,,King Ultralightport,Westfield,US-IN,US,40.06230163574219,-86.21050262451172,02II
02IN,,Diamond P Field,Muncie,Indiana,US,40.20889,-85.54083,02IN
02KS,,Jmj Landing Airport,St Marys,Kansas,US,39.22222,-96.05527,02KS
02MD,,Garner Field,Brandywine,Maryland,US,38.67254,-76.70974,02MD
02ME,,Nadeau's Airfield,Acton,Maine,US,43.5373,-70.92937,02ME
02MI,,Fairplains Airpark,Greenville,Michigan,US,43.157,-85.14893,02MI
02MO,,Troy Airpark,Troy,Missouri,US,39.04626,-91.02822,02MO
02MS,,Watts Field,Rochdale,Mississippi,US,34.10011,-90.84677,02MS
NULL,,Benes Service Airport,Valparaiso,US-NE,US,41.074501037597656,-96.90450286865234,02NE
02NV,,Paiute Meadows Airport,Winnemucca,Nevada,US,41.30056,-118.92833,02NV
NULL,,Zimmerman Airport,Fremont,US-OH,US,41.376399993896484,-83.08329772949219,02OH
NULL,,Murtha Airport,Conneaut,US-OH,US,41.801998138427734,-80.56539916992188,02OI
NULL,,Rowena Dell Airport,The Dalles,US-OR,US,45.68149948120117,-121.31600189208984,02OR
02PR,,Cuylers Airport,Vega Baja,Puerto Rico,US,18.45333,-66.36694,02PR
02SC,,Harpers Airport,Estill,South Carolina,US,32.7585,-81.22482,02SC
K02T,,Wise River Airport,Wise River,Montana,US,45.77003,-112.98047,02T
02TN,,Ellis Field,Murfreesboro,Tennessee,US,35.78056,-86.58417,02TN
02UT,,Lucin Airport,Lucin,Utah,US,41.36631,-113.84306,02UT
02VA,,The Greenhouse Airport,Culpeper,Virginia,US,38.43568,-77.85722,02VA
02WA,,Cawleys South Prairie Airport,South Prairie,Washington,US,47.15232,-122.094,02WA
02WI,,Beer Airport,Hudson,Wisconsin,US,45.03191,-92.65576,02WI
02WN,,Fowler Field,Tonasket,Washington,US,48.74583,-119.31861,02WN
02XA,,Jls Farms Airport,Honey Grove,Texas,US,33.59132,-95.88286,02XA
03AZ,,Thompson International Aviation Airport,Hereford,Arizona,US,31.43343,-110.08397,03AZ
NULL,,Kugel-Strong Airport,Platteville,US-CO,US,40.211608,-104.744781,03CO
03FA,,Lake Persimmon Airstrip,Lake Placid,Florida,US,27.3531,-81.40813,03FA
03GA,,Hia Airport,Statesboro,Georgia,US,32.56231,-81.85769,03GA
03ID,,Flying Y Ranch Airport,Council,Idaho,US,44.79433,-116.53265,03ID
NULL,,Davis Field Ultralightport,Mount Vernon,US-IN,US,37.9620018005,-87.7789001465,03II
03IL,,Wix Airport,Monee,Illinois,US,41.40226,-87.81671,03IL
03KY,,Flying H Farms Airport,Henderson,Kentucky,US,37.7959,-87.53879,03KY
03MA,,Hadley Airport,Hadley,Massachusetts,US,42.39314,-72.55203,03MA
03ME,,Maple Ridge Airport,Harrison,Maine,US,44.08424,-70.62728,03ME
03MN,,Nauerth Land Ranch Airport,Lakefield,Minnesota,US,43.62524,-95.22472,03MN
3MT7,,Cascade Field,Cascade,Montana,US,47.26667,-111.7175,3MT7
03MU,,Mc Donnell Airport,Archie,Missouri,US,38.49194,-94.41236,03MU
K03N,UTK,Utirik Airport,Utirik Island,MH-UTI,MH,11.23333,169.85,03N
03NC,,Pilots Ridge Airport,Carolina Beach,North Carolina,US,34.10434,-77.90417,03NC
03ND,,Olafson Brothers Airport,Edinburg,North Dakota,US,48.62638,-97.82898,03ND
NULL,,Hyde Ranch Airport,Comstock,US-NE,US,41.5463981628418,-99.3311996459961,03NE
03NV,,Llama Ranch Airport,Ruby Valley,Nevada,US,40.58444,-115.29778,03NV
03NY,,Talmage Field,Riverhead,New York,US,40.95843,-72.71676,03NY
03OH,,Gibbs Field,Fremont,Ohio,US,41.41839,-83.01742,03OH
03OK,,Sahoma Lake Airport,Sapulpa,Oklahoma,US,36.0412,-96.16139,03OK
03OL,,Bluebird Airport,Alex,Oklahoma,US,35.01233,-97.70274,03OL
03OR,,Powwatka Ridge Airport,Troy,Oregon,US,45.85542,-117.48434,03OR
03PR,,Sun View Field,Bonner Springs,Kansas,US,39.06595,-94.9217,03PR
K03S,,Sandy River Airport,Sandy,Oregon,US,45.40161,-122.22869,03S
03TE,,Barronena Ranch Airport,Hebbronville,Texas,US,27.49114,-98.66946,03TE
03TT,,Brazos Polo Airport,Orchard,Texas,US,29.63212,-95.93248,03TT
03UT,,A Z Minerals Corporation Airport,Mexican Hat,Utah,US,37.12083,-109.98596,03UT
03WA,,Spangle Field,Spangle,Washington,US,47.40823,-117.37186,03WA
03WN,,Aerostone Airfield,Goldendale,Washington,US,45.87545,-120.67233,03WN
03XS,,Creekside Airport,Mertzon,Texas,US,31.31806,-100.75417,03XS
04AA,,Flying W Ranch Airport,Soldotna,Alaska,US,60.53583,-150.81139,04AA
04AN,,North 40 Airport,Sutton,Alaska,US,61.73751,-148.70072,04AN
04CA,,Gray Butte Field,Palmdale,California,US,34.56662,-117.67038,04CA
04CL,,Desert Wings Sky Ranch Airport,Julian,California,US,33.08171,-116.4414,04CL
04FA,,Richards Field,Homestead,Florida,US,25.55872,-80.51506,04FA
04FL,,Cross Creek Farms Airport,Ormond,Florida,US,29.23942,-81.222,04FL
